,Unnamed: 0,name,gender,birth_date,party_name,post_label,elected,twitter_username,twitter_user_id,tweets_count,followers,friends,retweet,favrotes,mentioned,quoted,reweet,mentioned%,quoted%,reweet%,topic_count,topic_ratio,former_MP
10,10,Jenny Wilson,female,0,Liberal Democrats,Aberdeen South,False,wilsjen,19650715,843,678,1158,908675,408,108,812,435,0.12811387900355872,0.963226571767497,0.5160142348754448,237,0.021397616468039005,no
11,11,Helen McFarlane,female,0,Labour Party,Airdrie and Shotts,False,AirdrieShottsLP,3072556480,250,532,981,49952,436,122,248,142,0.488,0.992,0.568,84,0.02688860435339309,no
12,12,Leo Docherty,male,0,Conservative and Unionist Party,Aldershot,True,LeoDochertyUK,562385310,375,996,1250,91395,610,72,358,138,0.192,0.9546666666666668,0.368,130,0.027316663164530363,no
13,13,Alan Hilliar,male,0,Liberal Democrats,Aldershot,False,alanhilliar,52522161,1,129,152,85,0,0,1,0,0.0,1.0,0.0,0,0.0,no
14,14,Gary Puffett,male,0,Labour Party,Aldershot,False,Gary_Puffett,254533424,2903,1139,1570,2661854,651,292,2824,583,0.10058560110230796,0.9727867723045126,0.20082673096796416,1048,0.026918038681838032,no
15,15,John Fisher,male,0,Labour Party,Aldridge-Brownhills,False,JohnFisher_1,870198840,284,610,764,529056,70,24,280,56,0.08450704225352113,0.9859154929577464,0.19718309859154928,155,0.04424778761061947,no
16,16,Ian Garrett,male,52,Liberal Democrats,Aldridge-Brownhills,False,ablibdems,125151345,1,38,2,1,0,1,1,1,1.0,1.0,1.0,1,1.0,no
17,17,Wendy Morton,female,50,Conservative and Unionist Party,Aldridge-Brownhills,True,morton_wendy,813678139,496,3873,623,64476,911,77,484,200,0.15524193548387094,0.9758064516129032,0.4032258064516129,147,0.02116630669546436,yes
18,18,Jane Brophy,female,54,Liberal Democrats,Altrincham and Sale West,False,JaneBrophyLD,4099573113,2347,1757,933,174668,4613,188,2265,536,0.08010225820195994,0.9650617809970174,0.22837665104388585,826,0.026574011517549786,no
19,19,Andrew Western,male,0,Labour Party,Altrincham and Sale West,False,AndrewHWestern,274033876,696,1208,832,1831889,849,78,677,252,0.11206896551724138,0.9727011494252874,0.3620689655172414,184,0.0197892019789202,no
20,20,Laura Knightly,female,0,Conservative and Unionist Party,Alyn and Deeside,False,lauraknightly,305659027,147,945,166,254629,383,18,147,88,0.12244897959183673,1.0,0.5986394557823129,54,0.026380068392769903,no
21,21,Mark Tami,male,55,Labour Party,Alyn and Deeside,True,MarkTamiMP,2278921206,891,3969,388,33807,1494,204,836,401,0.22895622895622894,0.9382716049382716,0.4500561167227834,293,0.02446559786239145,yes
22,22,James Dawson,Male,33,Labour Party,Amber Valley,False,CllrJamesDawson,330622644,2372,1803,3128,1075608,1171,184,2320,1502,0.0775716694772344,0.9780775716694772,0.633220910623946,410,0.0123141612854783,no
23,23,Kate Smith,female,60,Liberal Democrats,Amber Valley,False,KateSmithLibDem,2175891740,2,44,20,1,0,2,2,2,1.0,1.0,1.0,0,0.0,no
24,24,William Campbell,male,63,Labour Party,Angus,False,Campbell4Angus,857757465391378432,132,56,49,118830,67,12,127,69,0.09090909090909093,0.9621212121212122,0.5227272727272727,54,0.03163444639718805,no
25,25,Kirstene Hair,Female,0,Conservative and Unionist Party,Angus,True,Kirstene4Angus,701064119370326016,355,1547,495,12268,2784,89,325,215,0.2507042253521127,0.9154929577464788,0.6056338028169014,182,0.040238779571081136,no
26,26,Clive Sneddon,male,0,Liberal Democrats,Angus,False,CliveSneddon,3156696916,338,30,269,7987,67,149,336,316,0.4408284023668639,0.9940828402366864,0.9349112426035504,151,0.03933315967699922,no
27,27,Mary Griffiths Clarke,female,0,Labour Party,Arfon,False,marygwengriff,90275968,782,800,617,260387,327,212,766,471,0.2710997442455243,0.979539641943734,0.6023017902813299,284,0.02821659215101838,no
28,28,Alan Reid,male,63,Liberal Democrats,Argyll and Bute,False,AlanReidAandB,2879189757,11,176,58,15,10,9,11,11,0.8181818181818182,1.0,1.0,5,0.03164556962025317,no
29,29,Caroline Fife,female,0,Labour Party,Arundel and South Downs,False,LabourASD,370386782,543,2011,1755,27952,703,204,522,315,0.3756906077348066,0.9613259668508288,0.5801104972375689,288,0.044915782907049284,no
30,30,Nick Herbert,male,54,Conservative and Unionist Party,Arundel and South Downs,True,nickherbertmp,111013369,1165,14299,282,85508,3494,211,1096,492,0.1811158798283262,0.9407725321888412,0.4223175965665236,535,0.03350870600025053,yes
31,31,Tony Harper,Male,0,Conservative and Unionist Party,Ashfield,False,TonyHar57558301,848525802706743296,5,15,55,224,5,2,5,2,0.4,1.0,0.4,3,0.04477611940298507,no
32,32,Gloria De Piero,female,45,Labour Party,Ashfield,True,GloriaDePiero,162472533,2694,45293,4737,751033,18161,674,2240,1003,0.2501855976243504,0.8314773570898293,0.3723088344469191,998,0.029278882825793582,yes
33,33,Sally Gathern,female,0,Labour Party,Ashford,False,sanng7,472951171,166,125,76,69271,82,46,166,79,0.27710843373493976,1.0,0.4759036144578313,89,0.046090108751942006,no
34,34,Damian Green,male,61,Conservative and Unionist Party,Ashford,True,DamianGreen,422184091,1409,11188,778,135319,3258,322,1373,448,0.22853087295954574,0.9744499645138396,0.3179559971611072,617,0.03428920751361565,yes
35,35,Carly Hicks,female,0,Liberal Democrats,Ashton-under-Lyne,False,cm_hicks,229846131,431,309,603,1436154,51,37,388,82,0.08584686774941995,0.9002320185614849,0.1902552204176334,154,0.026487788097695215,no
36,36,Jack Rankin,male,0,Conservative and Unionist Party,Ashton-under-Lyne,False,jackmrankin,24228290,1681,972,1528,1073833,773,120,1636,455,0.07138607971445568,0.9732302201070792,0.27067221891731114,520,0.0230936625660612,no
37,37,Angela Rayner,female,37,Labour Party,Ashton-under-Lyne,True,AngelaRayner,222748037,2253,62234,2942,838104,244104,673,2166,950,0.2987128273413227,0.9613848202396804,0.4216600088770528,975,0.030586316152711988,yes
38,38,Steven Lambert,male,47,Liberal Democrats,Aylesbury,False,stevenlambert1,23431198,20,1636,832,211,2,3,20,8,0.15,1.0,0.4,5,0.016611295681063124,no
39,39,David Lidington,male,61,Conservative and Unionist Party,Aylesbury,True,DLidington,496278040,2545,17952,1971,545199,4293,284,2454,756,0.11159135559921414,0.9642436149312376,0.2970530451866405,1044,0.02970973249857712,yes
40,40,Carol Mochan,Female,0,Labour Party,"Ayr, Carrick and Cumnock",False,CMochan,1707450434,1981,507,376,552031,589,198,1933,194,0.09994952044422008,0.9757698132256436,0.09793033821302373,1031,0.0402435692259651,no
41,41,Victoria Prentis,female,46,Conservative and Unionist Party,Banbury,True,VictoriaPrentis,2862527512,854,3966,211,38205,2940,268,807,558,0.31381733021077285,0.9449648711943794,0.6533957845433255,304,0.023733312514638144,yes
42,42,Sean Woodcock,male,0,Labour Party,Banbury,False,SEANLWOODCOCK,200538258,2628,1434,3047,3409303,2650,677,2436,1688,0.2576103500761035,0.9269406392694064,0.6423135464231354,748,0.02369788366493473,no
43,43,Margaret Hodge,female,73,Labour Party,Barking,True,margarethodge,111411358,606,24056,1255,6104,3376,210,578,363,0.3465346534653465,0.9537953795379538,0.599009900990099,266,0.034771241830065365,yes
44,44,Dan Jarvis,male,45,Labour Party,Barnsley Central,True,DanJarvisMP,240202308,1561,59528,7924,283987,50578,261,1450,883,0.1672005124919923,0.9288917360666241,0.5656630365150545,526,0.02471920672963955,yes
45,45,David Ridgway,Male,0,Liberal Democrats,Barnsley Central,False,DavidRidgway67,776206303,651,539,270,83565,146,152,650,277,0.2334869431643625,0.998463901689708,0.4254992319508449,303,0.03333333333333333,no
46,46,Stephanie Peacock,female,0,Labour Party,Barnsley East,True,Steph_Peacock,51062977,576,3946,1947,82632,1561,137,514,334,0.2378472222222222,0.8923611111111112,0.5798611111111112,105,0.017494168610463174,no
47,47,Nicola Turner,female,0,Liberal Democrats,Barnsley East,False,NicolaJTurner,202174004,159,632,105,29108,51,37,150,61,0.2327044025157233,0.9433962264150944,0.3836477987421384,73,0.03830010493179433,no
48,48,Loraine Birchall,female,49,Liberal Democrats,Barrow and Furness,False,LoraineBirchall,214128669,272,213,448,24838,71,47,231,108,0.17279411764705882,0.8492647058823529,0.3970588235294117,69,0.018739815317762087,no
49,49,Simon Fell,male,0,Conservative and Unionist Party,Barrow and Furness,False,simonfell,16454546,1132,712,727,136590,1277,544,936,709,0.480565371024735,0.8268551236749117,0.6263250883392226,319,0.024269628727936702,no
50,50,Kayte Block,female,29,Labour Party,Basildon and Billericay,False,CllrBlock,729625299982422016,2,36,38,0,4,1,2,2,0.5,1.0,1.0,1,0.08333333333333333,no
51,51,Antonia Harrison,female,0,Liberal Democrats,Basildon and Billericay,False,AEuropeanBrit,2903820484,1822,743,1040,716292,3595,407,1274,1467,0.2233809001097695,0.6992316136114161,0.8051591657519209,783,0.03361957921854873,no
52,52,John Shaw,male,0,Liberal Democrats,Basingstoke,False,JohnShawLibDem,83666111,7,163,115,1676,13,1,7,5,0.14285714285714285,1.0,0.7142857142857143,1,0.02127659574468085,no
53,53,Leon Duveen,male,61,Liberal Democrats,Bassetlaw,False,LD4Bassetlaw,2776642906,453,272,130,464029,63,89,451,120,0.19646799116997796,0.9955849889624724,0.26490066225165565,226,0.03992932862190813,no
54,54,John Mann,male,57,Labour Party,Bassetlaw,True,JohnMannMP,357805905,1844,22023,344,469888,24259,832,1522,1004,0.4511930585683297,0.8253796095444685,0.5444685466377439,642,0.02534544018949862,yes
55,55,Wera Hobhouse,female,57,Liberal Democrats,Bath,True,Wera_Hobhouse,19915728,1653,4088,834,408214,1438,352,1486,584,0.21294615849969756,0.8989715668481548,0.35329703569267995,647,0.030787532714727575,no
56,56,Ben Howlett,Male,31,Conservative and Unionist Party,Bath,False,benhowlettuk,147734164,2897,12011,7518,123596,6713,394,2687,1891,0.1360027614773904,0.9275112185018984,0.6527442181567138,853,0.02139077663816235,yes
57,57,Joe Rayment,male,0,Labour Party,Bath,False,joerayment91,277531410,701,1576,1324,568104,1546,84,651,327,0.11982881597717546,0.92867332382311,0.4664764621968616,240,0.024719332578020392,no
58,58,Ann Myatt,female,0,Conservative and Unionist Party,Batley and Spen,False,AnnMyatt2015,2359940569,39,580,519,2057,58,18,34,29,0.4615384615384616,0.8717948717948718,0.7435897435897436,15,0.034324942791762014,no
59,59,Marsha de Cordova,female,0,Labour Party,Battersea,True,Marshadecordova,189280488,1296,9456,1697,1720360,1693,319,1220,500,0.246141975308642,0.9413580246913579,0.3858024691358025,468,0.029088196904717513,no
60,60,Richard Davis,Male,0,Liberal Democrats,Battersea,False,DrDickyD,118117970,595,1717,2144,621636,609,101,582,293,0.16974789915966387,0.9781512605042016,0.492436974789916,277,0.03347836596567561,no
61,61,Jane Ellison,female,53,Conservative and Unionist Party,Battersea,False,JaneEllison,132236753,1329,9957,536,366942,4743,179,1248,369,0.1346877351392024,0.9390519187358916,0.27765237020316025,549,0.027904849039341262,yes
62,62,James English,male,0,Labour Party,Beaconsfield,False,_jamesenglish,3235792173,44,181,102,5482,120,10,41,26,0.2272727272727273,0.9318181818181818,0.5909090909090909,15,0.02092050209205021,no
63,63,Marina Ahmad,female,0,Labour Party,Beckenham,False,LabourMarina,3387996465,910,839,263,230255,966,230,806,373,0.25274725274725274,0.8857142857142857,0.4098901098901099,359,0.030634013141052987,no
64,64,Julie Ireland,female,0,Liberal Democrats,Beckenham,False,JulieIreland,26739338,523,349,188,149695,349,43,501,117,0.08221797323135756,0.9579349904397706,0.2237093690248566,167,0.022380058965424814,no
65,65,Henry Vann,male,0,Liberal Democrats,Bedford,False,BedfordVann,21801576,1813,1753,1406,1118178,798,159,1741,624,0.08769994484280197,0.9602868174296746,0.34418091560948705,534,0.02078387109329389,no
66,66,Siobhan Baillie,Female,0,Conservative and Unionist Party,Bermondsey and Old Southwark,False,Siobhan_Baillie,129951559,791,1478,2127,71182,1933,287,724,503,0.3628318584070797,0.9152970922882429,0.6359039190897599,279,0.02553775743707094,no
67,67,Neil Coyle,male,39,Labour Party,Bermondsey and Old Southwark,True,coyleneil,248186795,2869,12491,3309,268178,22041,678,2488,1664,0.23631927500871386,0.8672011153712095,0.5799930289299408,1088,0.02735661663020794,yes
68,68,Simon Hughes,male,66,Liberal Democrats,Bermondsey and Old Southwark,False,SimonHughes,153914621,2207,10347,285,641216,3619,92,2193,193,0.04168554599003172,0.9936565473493431,0.08744902582691437,621,0.018819322383174738,no
69,69,Scott Dickinson,male,33,Labour Party,Berwick-upon-Tweed,False,ScottDickinson0,68391291,546,857,958,101368,316,151,540,243,0.2765567765567766,0.989010989010989,0.445054945054945,206,0.03166794773251345,no
70,70,Anne-Marie Trevelyan,female,48,Conservative and Unionist Party,Berwick-upon-Tweed,True,annietrev,20229729,2757,6316,2707,236273,9617,586,2666,1513,0.21254987305041712,0.9669931084512152,0.5487849111352919,1019,0.028197465272012837,yes
71,71,Caroline Burgess,female,0,Liberal Democrats,"Berwickshire, Roxburgh and Selkirk",False,VoteCarolineB,776725945373888512,105,311,788,2452,308,26,104,87,0.24761904761904766,0.9904761904761904,0.8285714285714286,37,0.028179741051028183,no
72,72,John Lamont,male,41,Conservative and Unionist Party,"Berwickshire, Roxburgh and Selkirk",True,John2Win,130133607,1178,4817,1508,587664,6637,220,1164,554,0.1867572156196944,0.9881154499151104,0.4702886247877759,328,0.020977232028651833,no
73,73,Rushanara Ali,female,42,Labour Party,Bethnal Green and Bow,True,rushanaraali,245849058,1537,22722,2189,1792461,8835,121,1486,389,0.07872478854912167,0.9668184775536759,0.2530904359141184,582,0.02771692542146871,yes
74,74,William Dyer,male,0,Liberal Democrats,Bethnal Green and Bow,False,WilliamPHDyer,29996437,535,4125,763,28937,467,168,509,383,0.31401869158878504,0.9514018691588784,0.7158878504672898,104,0.015839171489491318,no
75,75,Johanna Boal,Female,0,Labour Party,Beverley and Holderness,False,JohannaBoal,257586901,133,206,435,24283,173,88,89,121,0.6616541353383458,0.6691729323308271,0.9097744360902256,45,0.031914893617021274,no
76,76,Graham Stuart,male,55,Conservative and Unionist Party,Beverley and Holderness,True,grahamstuart,14395178,553,10274,2466,129018,808,103,544,273,0.18625678119349007,0.9837251356238698,0.4936708860759494,224,0.030505243088655862,yes
77,77,Christine Bayliss,female,59,Labour Party,Bexhill and Battle,False,Bayliss4BB,859045103473655808,213,194,279,18654,336,99,181,181,0.4647887323943662,0.8497652582159625,0.8497652582159625,74,0.029168309026409142,no
78,78,Joel Kemp,male,0,Liberal Democrats,Bexhill and Battle,False,jpkemp94,554339264,757,319,630,556328,206,146,741,362,0.1928665785997358,0.9788639365918098,0.4782034346103039,176,0.01820438560198593,no
79,79,Huw Merriman,male,44,Conservative and Unionist Party,Bexhill and Battle,True,HuwMerriman,2902930059,865,3855,384,68115,1904,286,758,680,0.33063583815028896,0.8763005780346821,0.7861271676300579,329,0.027217074784910655,yes
80,80,Stefano Borella,male,0,Labour Party,Bexleyheath and Crayford,False,StefBorella,2205752888,2163,1244,1217,774031,1405,437,1981,1045,0.2020342117429496,0.9158576051779936,0.4831252889505317,661,0.02172841129482923,no
81,81,David Evennett,male,68,Conservative and Unionist Party,Bexleyheath and Crayford,True,DavidEvennett,17298241,604,9687,499,6915,1429,307,602,430,0.5082781456953642,0.9966887417218544,0.7119205298013245,150,0.020177562550443902,yes
82,82,Simone Reynolds,Female,0,Liberal Democrats,Bexleyheath and Crayford,False,SimRey14,1296377024,2351,2983,4498,277714,3512,323,1959,797,0.13738834538494255,0.8332624415142492,0.3390046788600595,864,0.03124209003796782,no
83,83,Allan Brame,male,65,Liberal Democrats,Birkenhead,False,AllanBrame,3039349901,472,136,238,138356,78,171,457,262,0.3622881355932203,0.9682203389830508,0.5550847457627118,184,0.03216220940395036,no
84,84,Frank Field,male,75,Labour Party,Birkenhead,True,frankfieldteam,20688804,573,14934,257,15474,13786,406,558,451,0.7085514834205934,0.9738219895287958,0.787085514834206,298,0.039169295478443736,yes
85,85,Colin Green,male,46,Liberal Democrats,"Birmingham, Edgbaston",False,ColinGreenLD,206986175,830,756,952,532755,221,184,802,361,0.2216867469879518,0.9662650602409638,0.43493975903614457,428,0.04248560651181259,no
86,86,Jack Dromey,male,69,Labour Party,"Birmingham, Erdington",True,JackDromeyMP,387054267,2149,18419,2873,1109541,20627,553,2107,1715,0.25732899022801303,0.980456026058632,0.7980456026058632,1002,0.03296594834676756,yes
87,87,Jerry Evans,male,0,Liberal Democrats,"Birmingham, Hall Green",False,Jerry4MP,129175534,151,330,275,10765,67,10,151,39,0.06622516556291391,1.0,0.2582781456953642,64,0.02888086642599278,no
88,88,Roger Godsiff,male,71,Labour Party,"Birmingham, Hall Green",True,RogerGodsiff,236953412,133,8467,502,3980,569,67,129,123,0.5037593984962406,0.9699248120300752,0.924812030075188,76,0.04559088182363527,yes
89,89,Reena Ranger,female,0,Conservative and Unionist Party,"Birmingham, Hall Green",False,Reena_Ranger,396567808,258,1739,894,162603,733,34,243,140,0.13178294573643412,0.9418604651162792,0.5426356589147286,40,0.011682242990654205,no
90,90,Phil Bennion,Male,63,Liberal Democrats,"Birmingham, Hodge Hill",False,PhilBennionMEP,615011876,1,1723,1192,2,2,1,1,1,1.0,1.0,1.0,0,0.0,no
91,91,Liam Byrne,male,47,Labour Party,"Birmingham, Hodge Hill",True,LiamByrneMP,27212119,2305,26707,3903,412468,7058,523,2195,1047,0.22689804772234276,0.9522776572668112,0.4542299349240781,809,0.026247485562260718,yes
92,92,Andrew Browning,male,28,Conservative and Unionist Party,"Birmingham, Ladywood",False,ar_browning,402320829,17,193,1763,545,25,2,16,5,0.1176470588235294,0.9411764705882352,0.29411764705882354,4,0.021164021164021163,no
93,93,Lee Dargue,male,39,Liberal Democrats,"Birmingham, Ladywood",False,leedargue,21346129,2287,1704,2107,2242557,1460,697,1742,1334,0.3047660690861391,0.7616965456930477,0.5832968954962834,779,0.02388544796713068,no
94,94,Shabana Mahmood,female,37,Labour Party,"Birmingham, Ladywood",True,ShabanaMahmood,407741330,821,15816,549,3105499,1832,104,783,243,0.12667478684531058,0.953714981729598,0.2959805115712545,224,0.018719705833194048,yes
95,95,Richard Burden,Male,63,Labour Party,"Birmingham, Northfield",True,RichardBurdenMP,253490735,2983,14350,864,272325,7945,740,2465,1717,0.24807241032517602,0.8263493127723768,0.5755950385517935,816,0.019703006157189423,yes
96,96,Roger Harmer,male,52,Liberal Democrats,"Birmingham, Northfield",False,rogerbhx,14717104,1272,539,537,322267,539,278,1140,664,0.21855345911949686,0.8962264150943396,0.5220125786163522,330,0.017818574514038878,no
97,97,Charlotte Hodivala,female,0,Conservative and Unionist Party,"Birmingham, Perry Barr",False,ch4pb,2825883455,840,1118,366,90140,1325,169,794,475,0.2011904761904762,0.9452380952380952,0.5654761904761905,203,0.019841657706969017,no
98,98,Khalid Mahmood,male,56,Labour Party,"Birmingham, Perry Barr",True,khalid4PB,3030160806,1781,2834,1496,182826,1908,276,1750,437,0.15496911847276812,0.982594048287479,0.24536777091521614,613,0.024424256912901426,yes
99,99,Steve McCabe,male,62,Labour Party,"Birmingham, Selly Oak",True,steve_mccabe,21408041,2194,13402,508,356766,4555,474,2085,1713,0.21604375569735645,0.9503190519598906,0.7807657247037375,715,0.02056666187257299,yes
100,100,Dave Radcliffe,male,0,Liberal Democrats,"Birmingham, Selly Oak",False,radclifd,14741951,121,622,1244,1579,55,11,116,93,0.09090909090909093,0.9586776859504132,0.7685950413223142,12,0.007838014369693011,no
101,101,Sophie Shrubsole,Female,0,Conservative and Unionist Party,"Birmingham, Selly Oak",False,Sophie4SellyOak,860873578526494720,26,224,94,68,118,13,23,23,0.5,0.8846153846153846,0.8846153846153846,12,0.04225352112676056,no
102,102,Mohammed Afzal,male,0,Conservative and Unionist Party,"Birmingham, Yardley",False,manchester453,813333221664493568,38,81,125,280,62,17,38,30,0.4473684210526316,1.0,0.7894736842105263,10,0.022522522522522518,no
103,103,John Hemming,male,57,Liberal Democrats,"Birmingham, Yardley",False,johnhemming4mp,101262304,1803,12247,10017,3731,941,228,1795,1635,0.1264559068219634,0.9955629506378258,0.9068219633943428,429,0.018098211272359097,no
104,104,Jess Phillips,female,36,Labour Party,"Birmingham, Yardley",True,jessphillips,20000725,1365,61515,2119,845787,50267,340,1245,920,0.2490842490842491,0.912087912087912,0.6739926739926739,255,0.01562117128154864,yes
105,105,Christopher Adams,male,28,Conservative and Unionist Party,Bishop Auckland,False,C_F_Adams,711964386,145,521,728,52079,84,21,137,70,0.14482758620689656,0.9448275862068966,0.4827586206896552,46,0.02585722315907813,no
106,106,Helen Goodman,female,59,Labour Party,Bishop Auckland,True,HelenGoodmanMP,277496722,3055,14822,1297,1170881,4373,677,3022,1162,0.2216039279869067,0.9891980360065468,0.3803600654664485,1463,0.036805957382575666,yes
107,107,Ciaran Morrissey,male,0,Liberal Democrats,Bishop Auckland,False,mozdog94,443044360,831,590,631,4348178,649,124,805,589,0.14921780986762934,0.9687123947051745,0.7087845968712395,136,0.013442720173964614,no
108,108,Irfan Ahmed,male,0,Liberal Democrats,Blackburn,False,IrfanAhmedUK,847203498701869056,27,75,31,1315,57,8,23,16,0.2962962962962963,0.8518518518518519,0.5925925925925926,10,0.03289473684210526,no
109,109,Bob Eastwood,male,0,Conservative and Unionist Party,Blackburn,False,Bobrjeastwood,1140683299,518,2475,2453,99351,729,139,474,343,0.2683397683397684,0.915057915057915,0.6621621621621622,132,0.018020477815699657,no
110,110,Kate Hollern,female,62,Labour Party,Blackburn,True,Kate_HollernMP,191074455,906,4549,1647,473164,1894,123,888,205,0.1357615894039735,0.9801324503311258,0.2262693156732892,433,0.03498989898989899,yes
111,111,David Goss,male,0,Conservative and Unionist Party,Blackley and Broughton,False,davidgoss,23642018,43,756,1443,16375,45,4,42,18,0.09302325581395347,0.9767441860465116,0.4186046511627907,7,0.011235955056179777,no
112,112,Paul Maynard,male,42,Conservative and Unionist Party,Blackpool North and Cleveleys,True,PaulMaynardUK,15133808,540,16911,8315,38696,339,89,537,191,0.1648148148148148,0.9944444444444444,0.3537037037037037,133,0.01802900908228277,yes
113,113,Chris Webb,male,0,Labour Party,Blackpool North and Cleveleys,False,Chris4BNC,2873822342,1297,1738,831,1675863,5069,391,1179,809,0.3014649190439476,0.9090208172706246,0.6237471087124132,409,0.024301841948900768,no
114,114,Peter Anthony,male,0,Conservative and Unionist Party,Blackpool South,False,peterfor2017,2699190565,98,669,713,41251,45,24,98,30,0.24489795918367346,1.0,0.30612244897959184,51,0.04497354497354497,no
115,115,Gordon Marsden,male,64,Labour Party,Blackpool South,True,GordonMarsden,1114522266,2838,6000,633,286876,7834,524,2831,910,0.1846370683579986,0.9975334742776604,0.32064834390415786,1242,0.030377889201418613,yes
116,116,Tracey West,female,0,Conservative and Unionist Party,Blaenau Gwent,False,traceymwest,279545611,12,122,126,54,5,4,12,7,0.3333333333333333,1.0,0.5833333333333334,0,0.0,no
117,117,Thomas Smith,male,0,Conservative and Unionist Party,Blaydon,False,Tom_Smith26,392844272,293,560,292,340927,534,76,279,175,0.2593856655290102,0.9522184300341296,0.5972696245733788,88,0.021690904609317233,no
118,118,Ronnie Campbell,male,74,Labour Party,Blyth Valley,True,BVLabour,537216043,118,878,426,8893,56,52,114,61,0.4406779661016949,0.9661016949152542,0.5169491525423728,43,0.03047484053862509,yes
119,119,Alan Butcher,male,46,Labour Party,Bognor Regis and Littlehampton,False,atbutcher,28803498,1455,405,1095,150128,99,1287,1447,1322,0.8845360824742268,0.9945017182130584,0.9085910652920962,192,0.02304921968787515,no
120,120,Nick Gibb,male,57,Conservative and Unionist Party,Bognor Regis and Littlehampton,True,NickGibbUK,3036280263,620,8254,1242,18331,5406,172,604,426,0.2774193548387097,0.9741935483870968,0.6870967741935484,159,0.01960059171597633,yes
121,121,Helen Harrison,female,0,Conservative and Unionist Party,Bolsover,False,helenharrisonuk,580106431,946,649,569,290414,673,58,942,107,0.0613107822410148,0.9957716701902748,0.11310782241014801,400,0.030933415822442193,no
122,122,Ross Shipman,male,0,Liberal Democrats,Bolsover,False,RossShippy,218546028,1184,636,848,70156,1131,52,1162,444,0.04391891891891892,0.9814189189189191,0.375,381,0.0221382916908774,no
123,123,David Crausby,male,71,Labour Party,Bolton North East,True,DavidCrausby,1417840321,925,2886,159,61481,1531,227,887,551,0.2454054054054054,0.9589189189189188,0.5956756756756757,342,0.026884678877446742,yes
124,124,James Daly,male,0,Conservative and Unionist Party,Bolton North East,False,cllrjamesdaly,1430228162,684,781,701,28926,174,124,677,117,0.18128654970760236,0.9897660818713452,0.17105263157894735,197,0.019971613949716138,no
125,125,Warren Fox,male,33,Liberal Democrats,Bolton North East,False,WarrenLFox,894929970,807,1908,3252,19214,894,312,779,698,0.3866171003717472,0.9653035935563816,0.8649318463444857,206,0.02300133988387673,no
126,126,Sarah Pochin,Female,0,Conservative and Unionist Party,Bolton South East,False,VoteSarahPochin,716516140,215,159,118,90521,64,31,215,52,0.14418604651162792,1.0,0.2418604651162791,78,0.02696163152436917,no
127,127,Yasmin Qureshi,female,54,Labour Party,Bolton South East,True,YasminQureshiMP,72341341,1147,13613,2265,224108,10156,409,1063,735,0.3565823888404533,0.926765475152572,0.6408020924149956,524,0.03473419064032878,yes
128,128,Rebecca Forrest,female,0,Liberal Democrats,Bolton West,False,fozziebecs,42387698,1584,542,565,575836,1253,212,1458,804,0.13383838383838384,0.9204545454545454,0.5075757575757576,483,0.02225498778970649,no
